航班日期,实际销售额（sale_volume）
2023/6/27,199760
2023/6/27,128136
2023/6/27,265517
2023/6/28,230759
2023/6/28,131509.33
2023/6/28,189578
2023/6/28,291553
2023/6/28,292579
2023/6/28,146337
2023/6/29,303538
2023/6/29,153678
2023/6/29,295237
2023/6/29,147826.34
2023/6/29,292417
2023/6/29,221746
2023/6/30,271807
2023/6/30,268139
2023/6/30,189779
2023/6/30,155233
2023/6/30,433417
2023/6/30,134373
2023/7/1,182150
2023/7/1,131080
2023/7/1,173289
2023/7/1,181308
2023/7/1,105669
2023/7/1,409082
2023/7/1,150146
2023/7/1,203448
2023/7/2,158950
2023/7/2,157224
2023/7/2,157070
2023/7/2,188940
2023/7/2,334677
2023/7/2,103480
2023/7/2,160185
2023/7/2,174525
2023/7/3,154018
2023/7/3,222232
2023/7/3,174426.9
2023/7/3,336300
2023/7/3,125272
2023/7/3,175098
2023/7/3,175289
2023/7/3,152333
2023/7/4,165270
2023/7/4,193271
2023/7/4,322965
2023/7/4,115885
2023/7/4,154328
2023/7/4,162468
2023/7/4,149009
2023/7/4,119072.9
2023/7/5,158353
2023/7/5,206047
2023/7/5,167760
2023/7/5,150287
2023/7/5,192957
2023/7/5,138728
2023/7/5,173568
2023/7/5,145260
2023/7/6,148388
2023/7/6,223660
2023/7/6,163729
2023/7/6,157747
2023/7/6,154982.51
2023/7/6,180819
2023/7/6,308769
2023/7/7,235179.2
2023/7/7,202453
2023/7/7,287605
2023/7/7,183490
2023/7/7,183531
2023/7/7,173398.75
2023/7/7,211188
2023/7/7,184150
2023/7/8,215904
2023/7/8,181286
2023/7/8,147365
2023/7/8,135160
2023/7/8,306420
2023/7/8,148769
2023/7/8,158117
2023/7/8,131507
2023/7/9,177430
2023/7/9,224348
2023/7/9,149339
2023/7/9,145308
2023/7/9,207240
2023/7/9,149650
2023/7/9,300846
2023/7/10,163938
2023/7/10,92816
2023/7/10,139178
2023/7/10,241860
2023/7/10,139917.2
2023/7/10,222037
2023/7/10,77478
2023/7/11,144000
2023/7/11,120677
2023/7/11,114978
2023/7/11,159798
2023/7/11,151300
2023/7/11,117240
2023/7/11,120921
2023/7/11,149959
2023/7/12,119932
2023/7/12,104616
2023/7/12,123399
2023/7/12,128430
2023/7/12,201917
2023/7/12,266296
2023/7/12,160848
2023/7/12,140098
2023/7/13,126219
2023/7/13,142459
2023/7/13,110610.2
2023/7/13,136344
2023/7/13,207434
2023/7/13,249697
2023/7/13,163428
2023/7/13,136010
2023/7/14,166960
2023/7/14,209050
2023/7/14,192830
2023/7/14,190817
2023/7/14,254156
2023/7/14,182249
2023/7/14,121337
2023/7/14,160520
2023/7/15,123619.5
2023/7/15,86397
2023/7/15,130446
2023/7/15,111255
2023/7/15,195229
2023/7/15,91119
2023/7/15,110671
2023/7/15,248130
2023/7/16,130270
2023/7/16,155383
2023/7/16,173374
2023/7/16,109893
2023/7/16,149969
2023/7/16,79231.3
2023/7/16,148064
2023/7/16,232610
2023/7/17,94528
2023/7/17,113887
2023/7/17,119245.5
2023/7/17,125904
2023/7/17,250340
2023/7/17,85924
2023/7/17,141189
2023/7/17,198389
2023/7/18,120800
2023/7/18,108449
2023/7/18,114399
2023/7/18,165498
2023/7/18,122577
2023/7/18,102353
2023/7/18,226565
2023/7/18,142763
2023/7/19,228372
2023/7/19,210618
2023/7/19,124044
2023/7/19,105015
2023/7/19,119096
2023/7/19,112248
2023/7/19,102965
2023/7/19,162291
2023/7/20,128547
2023/7/20,97841
2023/7/20,130192
2023/7/20,128334
2023/7/20,202238
2023/7/20,106774
2023/7/20,156556
2023/7/20,215040
2023/7/21,190552
2023/7/21,159670
2023/7/21,75186
2023/7/21,237063
2023/7/21,118867.1
2023/7/21,206614
2023/7/21,149855
2023/7/21,174369
2023/7/22,100562
2023/7/22,94996.9
2023/7/22,203814
2023/7/22,98617
2023/7/22,100195
2023/7/22,94762
2023/7/22,63768
2023/7/22,229680
2023/7/23,155809
2023/7/23,165343
2023/7/23,222116
2023/7/23,113737
2023/7/23,138810
2023/7/23,131470
2023/7/23,160985
2023/7/23,99078
2023/7/24,237374
2023/7/24,131067
2023/7/24,123804
2023/7/24,197874
2023/7/24,108277
2023/7/24,152810
2023/7/24,105762
2023/7/24,102219.98
2023/7/25,151080
2023/7/25,103443
2023/7/25,129833
2023/7/25,106930.75
2023/7/25,221654
2023/7/25,189015
2023/7/25,121323
2023/7/25,113235
2023/7/26,97293
2023/7/26,225007
2023/7/26,157575
2023/7/26,139196.5
2023/7/26,112352.4
2023/7/26,119675
2023/7/26,201540
2023/7/26,114278
2023/7/27,199537
2023/7/27,182350
2023/7/27,116138
2023/7/27,105577
2023/7/27,231797
2023/7/27,104846
2023/7/27,105637
2023/7/27,238106
2023/7/28,178083
2023/7/28,141700
2023/7/28,256525
2023/7/28,119152.75
2023/7/28,155700
2023/7/28,267992
2023/7/28,241403
2023/7/28,131925
2023/7/29,120482
2023/7/29,247831
2023/7/29,193803
2023/7/29,116702.85
2023/7/29,118887
2023/7/29,163154
2023/7/29,228588
2023/7/29,89149
2023/7/30,133684
2023/7/30,194027
2023/7/30,131899.67
2023/7/30,142440
2023/7/30,101368.73
2023/7/30,257783
2023/7/30,211805
2023/7/30,136300
2023/7/31,206345
2023/7/31,121795.5
2023/7/31,101300
2023/7/31,33175
2023/7/31,174036
2023/7/31,8150
2023/8/1,101295
2023/8/1,100900.5
2023/8/1,238008
2023/8/1,170380
2023/8/1,180995
2023/8/1,208490
2023/8/1,125764
2023/8/2,76774
2023/8/2,213039
2023/8/2,105497
2023/8/2,101677.55
2023/8/2,96118
2023/8/2,207874
2023/8/2,134684
2023/8/2,135489
2023/8/3,118928
2023/8/3,218163
2023/8/3,212847
2023/8/3,93290.55
2023/8/3,107419
2023/8/3,168404.5
2023/8/3,196046
2023/8/3,88027
2023/8/4,185147.75
2023/8/4,203817
2023/8/4,220352
2023/8/4,109367
2023/8/4,112376.5
2023/8/4,97515
2023/8/4,153229
2023/8/4,237103
2023/8/5,105037
2023/8/5,179291
2023/8/5,116626
2023/8/5,117199
2023/8/5,226047
2023/8/5,96589
2023/8/5,134158
2023/8/5,198726
2023/8/6,137353
2023/8/6,142786
2023/8/6,271433
2023/8/6,259257.67
2023/8/6,137758
2023/8/6,121925
2023/8/6,273681
2023/8/6,145282
2023/8/7,230485
2023/8/7,98440
2023/8/7,241566
2023/8/7,215380
2023/8/7,150359
2023/8/7,137336.8
2023/8/7,248912
2023/8/7,142327
2023/8/8,248209
2023/8/8,231385
2023/8/8,139076
2023/8/8,110877.38
2023/8/8,224854
2023/8/8,197235
2023/8/8,105778
2023/8/8,106075
2023/8/9,109396
2023/8/9,114026.75
2023/8/9,245809
2023/8/9,177389
2023/8/9,106525
2023/8/9,263817
2023/8/9,198718.75
2023/8/9,106758
2023/8/10,241554
2023/8/10,123239.5
2023/8/10,186493
2023/8/10,217305
2023/8/10,138967
2023/8/10,264550
2023/8/10,123599.34
2023/8/10,129455
2023/8/11,274563
2023/8/11,124368
2023/8/11,187813
2023/8/11,189036
2023/8/11,147418
2023/8/11,151650
2023/8/11,219739
2023/8/12,179247
2023/8/12,127617
2023/8/12,151955
2023/8/12,91069
2023/8/12,241450
2023/8/12,136467
2023/8/12,141564.09
2023/8/12,136418
2023/8/13,136160
2023/8/13,252526.76
2023/8/13,173120
2023/8/13,148220
2023/8/13,123010
2023/8/13,135581.25
2023/8/13,170692.25
2023/8/13,164791.7
2023/8/14,208387
2023/8/14,246445
2023/8/14,128166
2023/8/14,135098
2023/8/14,270535
2023/8/14,130557.43
2023/8/14,97372
2023/8/15,212225
2023/8/15,235426
2023/8/15,116775
2023/8/15,179866
2023/8/15,127628
2023/8/15,123205
2023/8/15,248669
2023/8/15,124352.13
